ym,mean_days,median_days,n,def_id,start,daytype,scope
2018-06,9.164534120734908,8.0,6096,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-02,13.300060496067756,11.0,1653,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2018-07,8.887751786874594,7.0,6156,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2018-04,11.419388055310385,9.0,6798,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2018-01,14.005799971707455,12.0,7069,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2018-05,11.336494295451178,9.0,6749,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-12,15.30564121168148,13.0,5513,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-04,15.02301346070343,13.0,2303,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2018-08,7.658164068650606,7.0,6351,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-03,13.044383346425766,10.0,2546,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2018-03,16.23761245180637,13.0,7003,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-01,12.753333333333334,11.0,750,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2016-10,19.633962264150945,18.0,265,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2016-12,5.0,5.0,1,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2016-09,55.0,55.0,1,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-11,15.073133918770582,13.0,7288,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2018-02,16.87337909992372,14.0,6555,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-09,11.722650602409638,10.0,4150,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-08,11.016455998092058,10.0,4193,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-10,11.733139794551139,10.0,4478,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-07,11.488894628099173,10.0,3872,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-06,12.012759170653908,11.0,3135,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-05,11.427080394922426,10.0,3545,purchase|calendar|delivered_only,purchase,calendar,delivered_only
2017-11,15.073133918770582,13.0,7288,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2018-02,16.875381330079318,14.0,6556,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-09,11.722650602409638,10.0,4150,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-08,11.016455998092058,10.0,4193,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-10,11.733139794551139,10.0,4478,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-07,11.488894628099173,10.0,3872,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-06,12.012759170653908,11.0,3135,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-05,11.427080394922426,10.0,3545,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2018-06,9.164534120734908,8.0,6096,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-02,13.300060496067756,11.0,1653,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2018-07,8.887751786874594,7.0,6156,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2018-04,11.419388055310385,9.0,6798,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2018-01,14.005799971707455,12.0,7069,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2018-05,11.336494295451178,9.0,6749,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-12,15.30564121168148,13.0,5513,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-04,15.02301346070343,13.0,2303,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2018-08,7.658164068650606,7.0,6351,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-03,13.044383346425766,10.0,2546,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2018-03,16.23761245180637,13.0,7003,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-01,12.753333333333334,11.0,750,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2016-10,19.61111111111111,18.0,270,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2016-12,5.0,5.0,1,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2016-09,55.0,55.0,1,purchase|calendar|any_delivered_ts,purchase,calendar,any_delivered_ts
2017-11,10.766524227693331,9.285714285714285,7288,purchase|business|delivered_only,purchase,business,delivered_only
2018-02,12.052413642802664,10.0,6555,purchase|business|delivered_only,purchase,business,delivered_only
2017-09,8.373321858864006,7.142857142857142,4150,purchase|business|delivered_only,purchase,business,delivered_only
2017-08,7.868897141494342,7.142857142857142,4193,purchase|business|delivered_only,purchase,business,delivered_only
2017-10,8.380814138965102,7.142857142857142,4478,purchase|business|delivered_only,purchase,business,delivered_only
2017-07,8.206353305785141,7.142857142857142,3872,purchase|business|delivered_only,purchase,business,delivered_only
2017-06,8.580542264752788,7.857142857142858,3135,purchase|business|delivered_only,purchase,business,delivered_only
2017-05,8.162200282087468,7.142857142857142,3545,purchase|business|delivered_only,purchase,business,delivered_only
2018-06,6.546095800524922,5.714285714285714,6096,purchase|business|delivered_only,purchase,business,delivered_only
2017-02,9.500043211476978,7.857142857142858,1653,purchase|business|delivered_only,purchase,business,delivered_only
2018-07,6.348394133481851,5.0,6156,purchase|business|delivered_only,purchase,business,delivered_only
2018-04,8.156705753793144,6.428571428571429,6798,purchase|business|delivered_only,purchase,business,delivered_only
2018-01,10.004142836933884,8.571428571428571,7069,purchase|business|delivered_only,purchase,business,delivered_only
2018-05,8.097495925322331,6.428571428571429,6749,purchase|business|delivered_only,purchase,business,delivered_only
2017-12,10.932600865486751,9.285714285714285,5513,purchase|business|delivered_only,purchase,business,delivered_only
2017-04,10.730723900502454,9.285714285714285,2303,purchase|business|delivered_only,purchase,business,delivered_only
2018-08,5.470117191893269,5.0,6351,purchase|business|delivered_only,purchase,business,delivered_only
2017-03,9.317416676018384,7.142857142857142,2546,purchase|business|delivered_only,purchase,business,delivered_only
2018-03,11.598294608433141,9.285714285714285,7003,purchase|business|delivered_only,purchase,business,delivered_only
