ym,revenue,n_orders,def_id,anchor,source,freight,voucher,status,aov
2018-06,1022901.3099999952,6167,purchase|items|incl|all,purchase,items,incl,n/a,all,165.866922328522
2017-02,286280.61999999965,1780,purchase|items|incl|all,purchase,items,incl,n/a,all,160.83180898876384
2018-07,1058761.2900000012,6292,purchase|items|incl|all,purchase,items,incl,n/a,all,168.27102511125258
2018-04,1160084.0700000005,6939,purchase|items|incl|all,purchase,items,incl,n/a,all,167.18317769131005
2018-01,1107857.1500000057,7269,purchase|items|incl|all,purchase,items,incl,n/a,all,152.40846746457638
2018-05,1150253.4199999934,6873,purchase|items|incl|all,purchase,items,incl,n/a,all,167.3582744070993
2017-12,864320.1499999999,5673,purchase|items|incl|all,purchase,items,incl,n/a,all,152.35680416005638
2017-04,412422.2399999999,2404,purchase|items|incl|all,purchase,items,incl,n/a,all,171.55667221297833
2018-08,1003374.9899999991,6512,purchase|items|incl|all,purchase,items,incl,n/a,all,154.08092598280084
2017-03,432048.5899999999,2682,purchase|items|incl|all,purchase,items,incl,n/a,all,161.09194258016402
2018-03,1155255.2799999956,7211,purchase|items|incl|all,purchase,items,incl,n/a,all,160.20736097628563
2017-01,137188.48999999982,800,purchase|items|incl|all,purchase,items,incl,n/a,all,171.48561249999977
2016-10,56808.83999999995,324,purchase|items|incl|all,purchase,items,incl,n/a,all,175.33592592592578
2016-09,354.75,4,purchase|items|incl|all,purchase,items,incl,n/a,all,88.6875
2016-12,19.62,1,purchase|items|incl|all,purchase,items,incl,n/a,all,19.62
2017-09,720398.9099999992,4285,purchase|items|incl|all,purchase,items,incl,n/a,all,168.121099183197
2017-11,1180339.1000000017,7544,purchase|items|incl|all,purchase,items,incl,n/a,all,156.46064422057287
2018-02,987577.4000000012,6728,purchase|items|incl|all,purchase,items,incl,n/a,all,146.78617717003584
2017-08,668287.3600000023,4331,purchase|items|incl|all,purchase,items,incl,n/a,all,154.303246363427
2017-10,769417.4900000009,4631,purchase|items|incl|all,purchase,items,incl,n/a,all,166.14499892031978
2017-07,584971.6200000028,4026,purchase|items|incl|all,purchase,items,incl,n/a,all,145.298464977646
2017-06,502963.0400000025,3245,purchase|items|incl|all,purchase,items,incl,n/a,all,154.99631432973882
2017-05,586190.9500000034,3700,purchase|items|incl|all,purchase,items,incl,n/a,all,158.42998648648742
2018-09,166.46,16,purchase|items|incl|all,purchase,items,incl,n/a,all,10.40375
2018-10,0.0,4,purchase|items|incl|all,purchase,items,incl,n/a,all,0.0
2018-06,865124.3100000183,6167,purchase|items|excl|all,purchase,items,excl,n/a,all,140.28284579212232
2017-02,247303.0199999968,1780,purchase|items|excl|all,purchase,items,excl,n/a,all,138.9342808988746
2018-07,895507.2200000187,6292,purchase|items|excl|all,purchase,items,excl,n/a,all,142.32473299428142
2018-04,996647.7500000267,6939,purchase|items|excl|all,purchase,items,excl,n/a,all,143.62988182735648
2018-01,950030.3600000306,7269,purchase|items|excl|all,purchase,items,excl,n/a,all,130.69615628009777
2018-05,996517.6800000252,6873,purchase|items|excl|all,purchase,items,excl,n/a,all,144.99020515059294
2017-12,743914.170000015,5673,purchase|items|excl|all,purchase,items,excl,n/a,all,131.1324114225304
2017-04,359927.22999999986,2404,purchase|items|excl|all,purchase,items,excl,n/a,all,149.72014559068214
2018-08,854686.3300000223,6512,purchase|items|excl|all,purchase,items,excl,n/a,all,131.24790079852923
2017-03,374344.30000000016,2682,purchase|items|excl|all,purchase,items,excl,n/a,all,139.57654735272192
2018-03,983213.4400000254,7211,purchase|items|excl|all,purchase,items,excl,n/a,all,136.34911108029752
2017-01,120312.86999999975,800,purchase|items|excl|all,purchase,items,excl,n/a,all,150.39108749999968
2016-10,49507.660000000105,324,purchase|items|excl|all,purchase,items,excl,n/a,all,152.80141975308675
2016-09,267.36,4,purchase|items|excl|all,purchase,items,excl,n/a,all,66.84
2016-12,10.9,1,purchase|items|excl|all,purchase,items,excl,n/a,all,10.9
2017-09,624401.6900000122,4285,purchase|items|excl|all,purchase,items,excl,n/a,all,145.71801400233656
2017-11,1010271.3700000285,7544,purchase|items|excl|all,purchase,items,excl,n/a,all,133.91720174973867
2018-02,844178.7100000277,6728,purchase|items|excl|all,purchase,items,excl,n/a,all,125.47245986920744
2017-08,573971.6800000108,4331,purchase|items|excl|all,purchase,items,excl,n/a,all,132.5263634264629
2017-10,664219.4300000115,4631,purchase|items|excl|all,purchase,items,excl,n/a,all,143.42894191319616
2017-07,498031.4800000066,4026,purchase|items|excl|all,purchase,items,excl,n/a,all,123.70379533035435
2017-06,433038.6000000036,3245,purchase|items|excl|all,purchase,items,excl,n/a,all,133.44795069337553
2017-05,506071.1400000069,3700,purchase|items|excl|all,purchase,items,excl,n/a,all,136.77598378378565
2018-09,145.0,16,purchase|items|excl|all,purchase,items,excl,n/a,all,9.0625
2018-10,0.0,4,purchase|items|excl|all,purchase,items,excl,n/a,all,0.0
2018-06,1023880.4999999956,6167,purchase|payments|incl|all,purchase,payments,n/a,incl,all,166.0257013134418
2017-02,291908.0099999999,1780,purchase|payments|incl|all,purchase,payments,n/a,incl,all,163.99326404494377
2018-07,1066540.7500000014,6292,purchase|payments|incl|all,purchase,payments,n/a,incl,all,169.50743006993028
2018-04,1160785.4800000007,6939,purchase|payments|incl|all,purchase,payments,n/a,incl,all,167.28425997982427
2018-01,1115004.1800000067,7269,purchase|payments|incl|all,purchase,payments,n/a,incl,all,153.39168799009585
2018-05,1153982.1499999939,6873,purchase|payments|incl|all,purchase,payments,n/a,incl,all,167.9007929579505
2017-12,878401.4799999995,5673,purchase|payments|incl|all,purchase,payments,n/a,incl,all,154.83897056231262
2017-04,417788.02999999985,2404,purchase|payments|incl|all,purchase,payments,n/a,incl,all,173.78869800332774
2018-08,1022425.3199999988,6512,purchase|payments|incl|all,purchase,payments,n/a,incl,all,157.00634520884503
2017-03,449863.60000000027,2682,purchase|payments|incl|all,purchase,payments,n/a,incl,all,167.73437733035058
