ym,n_defs,min,max,mean,median,spread_abs,spread_pct
2017-01,64,33599.1200000001,138488.03999999975,95852.48718749988,101974.42999999983,104888.91999999965,109.42743696866555
2017-02,64,198909.2899999979,291908.0099999999,252605.3556249991,254251.2999999999,92998.72000000198,36.81581483888315
2017-03,64,335886.2099999984,449863.60000000027,402928.30312499986,411658.5249999998,113977.39000000188,28.287263296230357
2017-04,64,268687.2299999962,417788.0299999999,352661.23890624946,354211.5399999998,149100.8000000037,42.27876033737869
2017-05,64,489338.25000000617,600917.7600000028,566020.1746875043,582511.1100000037,111579.50999999663,19.712991690022157
2017-06,64,420627.4400000034,515293.570000003,479944.8139062531,492921.8050000026,94666.1299999996,19.72437814871161
2017-07,64,455000.9900000046,592382.9200000028,533873.0317187533,540459.9800000024,137381.92999999825,25.73307169266637
2017-08,64,535529.9300000075,674396.3200000025,625731.8201562543,645957.8650000033,138866.389999995,22.19263676974555
2017-09,64,580268.360000011,727762.4499999993,666838.2884375028,672038.94,147494.0899999882,22.1184194965151
2017-10,64,643820.340000011,782898.6100000005,731477.4609375034,753066.9450000011,139078.26999998942,19.013336353759794
2017-11,64,651457.5200000119,1194882.8000000026,994875.0509375056,1050586.6149999986,543425.2799999907,54.62246535259901
2017-12,64,726033.1900000143,1103411.3600000034,904873.1476562547,887431.94,377378.1699999891,41.70509103706417
2018-01,64,851118.1200000233,1115004.1800000067,1018539.8551562593,1044099.3300000029,263886.0599999834,25.908270419079415
2018-02,64,749970.5600000222,992463.3400000014,907410.3848437569,943095.6450000003,242492.7799999792,26.723606435442434
2018-03,64,892100.1100000254,1170383.2699999951,1074341.6089062537,1120702.3499999952,278283.15999996976,25.902669848492533
2018-04,64,953526.9400000252,1300846.019999988,1140430.7920312535,1136240.7549999994,347319.0799999627,30.455077364347805
2018-05,64,977544.6900000249,1180152.879999993,1115086.8717187522,1148227.3099999954,202608.18999996805,18.169722479798864
2018-06,64,856077.860000018,1171634.0099999902,1014312.9112500008,1017638.0149999958,315556.1499999722,31.11033552861836
2018-07,64,796428.8500000181,1066540.7500000014,954711.4795312544,970856.7349999994,270111.89999998326,28.292516198988537
2018-08,64,838576.6400000216,1347360.600000003,1077247.8981250047,1025771.7599999992,508783.95999998134,47.22997936552406
